,Company,Model,Body Type,Trim Level,Engine Name,Engine Fuel Type,Engine Transmission,Engine Power,Engine Efficiency,Engine Emission,Price
70,Audi,A1,5 door Hatchback,Black Edition,30 TFSI 110 Tech Pack,Petrol,Manual,110 bhp,49.6 mpg,111 g/km,27830
71,Audi,A1,5 door Hatchback,Black Edition,30 TFSI 110 S Tronic,Petrol,Automatic,110 bhp,46.3 mpg,112 g/km,27865
72,Audi,A1,5 door Hatchback,Black Edition,30 TFSI 110 S Tronic Tech Pack,Petrol,Automatic,110 bhp,46.3 mpg,112 g/km,29410
73,Audi,A1,5 door Hatchback,Black Edition,35 TFSI S Tronic,Petrol,Automatic,150 bhp,47.1 mpg,117 g/km,28890
74,Audi,A1,5 door Hatchback,Black Edition,35 TFSI S Tronic Tech Pack,Petrol,Automatic,150 bhp,47.1 mpg,117 g/km,30435
75,Audi,Q2,5 door Estate,Technik,30 TFSI,Petrol,Manual,110 bhp,48.7 mpg,,25570
76,Audi,Q2,5 door Estate,Sport,30 TFSI,Petrol,Manual,110 bhp,48.7 mpg,,28070
77,Audi,Q2,5 door Estate,Sport,30 TFSI C+S,Petrol,Manual,110 bhp,48.7 mpg,,29265
78,Audi,Q2,5 door Estate,Sport,35 TFSI,Petrol,Manual,150 bhp,47.9 mpg,,29880
79,Audi,Q2,5 door Estate,Sport,35 TFSI C+S,Petrol,Manual,150 bhp,47.9 mpg,,31075
80,Audi,Q2,5 door Estate,Sport,35 TFSI S Tronic,Petrol,Automatic,150 bhp,46.3 mpg,,31430
81,Audi,Q2,5 door Estate,Sport,35 TFSI S Tronic C+S,Petrol,Automatic,150 bhp,46.3 mpg,,32625
82,Audi,Q2,5 door Estate,S Line,30 TFSI,Petrol,Manual,110 bhp,47.1 mpg,,30220
83,Audi,Q2,5 door Estate,S Line,30 TFSI C+S,Petrol,Manual,110 bhp,46.3 mpg,,31415
84,Audi,Q2,5 door Estate,S Line,35 TFSI,Petrol,Manual,150 bhp,46.3 mpg,,32030
